Name,Pos,Org,Top 100,Org Rk,Age,TJ Date,FB Type,FB,SL,CB,CH,CMD,RPM FB,RPM Break,Sits,Tops,FV,playerId
"Jorge Rodriguez","SP","BOS",,38,"21.1222222",,"Rise","40 / 50","","45 / 50","45 / 55","35 / 55",2300,2900,"89-91","93","35+","sa3006074"
"Tyler Mattison","SIRP","DET",,32,"21.85",,"Rise","50 / 55","","55 / 60","","30 / 40",,,"92-95","100","35+",
"Victor Santos","SP","BOS",,39,"21.2416666",,"Tail","35 / 35","45 / 50","","","35 / 60",2150,2350,"87-91","92","35+","sa3003083"
"Nivaldo Rodriguez","SP","DET",,33,"24.4805555",,"Rise","45 / 45","50 / 50","55 / 55","45 / 50","50 / 50",2250,2850,"89-92","94","35+","22449"
"Po-Yu Chen","SP","PIT",,48,"20.0194444",,,"40 / 50","40 / 45","45 / 50","40 / 50","25 / 55",,,"91-92","93","35+","sa3014699"
"Andrew Politi","SIRP","BOS",,42,"25.3472222",,"Rise","55 / 55","50 / 55","","45 / 50","30 / 40",2450,2500,"92-95","96","35+","sa3007243"
"Angel De Jesus","SIRP","DET",,36,"24.6555555",,"Tail","65 / 65","45 / 45","","","30 / 35",2300,2400,"91-95","96","35+","sa921876"
"Owen Kellington","SP","PIT",,49,"18.4333333",,"Rise","40 / 50","","55 / 60","","20 / 50",,,"87-90","92","35+",
"Elmer Rodriguez-Cruz","SIRP","BOS",,43,"17.8972222",,"Tail","40 / 55","","40 / 50","30 / 50","20 / 45",,,"89-92","94","35+",
"Wladimir Pinto","SIRP","DET",,37,"23.6583333",,"Rise","60 / 60","45 / 50","","30 / 35","30 / 35",2450,2000,"94-97","98","35+","sa871482"
"Braxton Ashcraft","SIRP","PIT",,50,"22.0111111",,"Tail","35 / 45","50 / 55","45 / 50","40 / 45","40 / 50",2250,2400,"88-93","95","35+","sa3008470"
"Ryan Zeferjahn","SIRP","BOS",,44,"23.6083333",,"Rise","55 / 60","50 / 55","","40 / 45","30 / 45",2300,2250,"94-96","98","35+","sa3011217"
"Shane Drohan","SP","BOS",,45,"22.7555555",,"Rise","40 / 50","","55 / 60","40 / 45","30 / 40",2300,2650,"89-92","94","35+","sa3014447"
"Carlos Guzman","SIRP","DET",,39,"23.3972222",,"None","50 / 55","","40 / 45","50 / 60","35 / 50",2300,2150,"90-94","96","35+","sa871477"
"Alec Bettinger","SP","MIL",,30,"26.2388888",,"Rise","45 / 45","","50 / 55","","50 / 55",2400,,"89-92","94","35+","20312"
"Bradley Blalock","SP","BOS",,46,"20.7888888",,"Rise","40 / 55","40 / 50","30 / 45","30 / 40","30 / 45",,,"91-93","95","35+","sa3011809"
"Yerry De Los Santos","SIRP","PIT",,53,"23.825",,"Tail","55 / 60","50 / 55","","","35 / 40",2250,2400,"93-96","98","35+","sa873562"
"Luis De La Rosa","SP","BOS",,48,"19.2583333",,"Rise","35 / 50","45 / 50","45 / 50","45 / 55","25 / 55",,,"88-90","92","35+","sa3009778"
"Chris Murphy","MIRP","BOS",,49,"23.3444444",,"Rise","50 / 55","40 / 40","45 / 50","50 / 55","35 / 40",2350,2200,"89-93","95","35+","sa3011431"
"Angel Perdomo","SIRP","MIL",,34,"27.4222222",,"Sink","60 / 60","50 / 50","","","30 / 30",2500,2650,"93-96","97","35+","17759"
"Luis Perales","SIRP","BOS",,51,"18.4861111",,"Rise","40 / 55","","45 / 55","30 / 45","20 / 40",,,,"95","35+","sa3014677"
"Alexis Ramirez","SIRP","MIL",,36,"22.2194444",,"Rise","50 / 60","45 / 55","","","30 / 40",2150,,"91-95","96","35+","sa3006545"
"Wilkin Ramos","SP","PIT",,58,"20.9416666",,"Cut","45 / 60","","40 / 45","45 / 55","35 / 45",2150,2200,"89-93","95","35+","sa3006487"
"Braden Webb","SIRP","MIL",,37,"26.4555555","4/10/14","Rise","60 / 60","","60 / 60","50 / 55","40 / 45",2250,2300,"89-93","95","35+","sa876362"
"Andy Maldonado","SP","PIT",,59,"19.2166666",,"Tail","40 / 50","40 / 45","","45 / 55","35 / 50",2300,2000,"89-93","95","35+","sa3009607"
"Josh Gessner","SIRP","TEX",,47,"21.2888888",,"Sink/Tail","45 / 50","50 / 55","","","30 / 50",,,"92-94","96","35+","sa3011658"
"Jeremy Wu-Yelland","SIRP","BOS",,53,"22.2916666",,"Tail","50 / 55","50 / 55","","40 / 50","30 / 35",,,"90-93","96","35+","sa3014520"
"Cam Robinson","SIRP","MIL",,39,"22.0916666",,"Rise","50 / 50","","50 / 50","","30 / 40",2300,,"88-93","94","35+","sa3005216"
"Daniel Robert","SIRP","TEX",,49,"27.1083333","1/1/17",,"50 / 50","70 / 70","","","45 / 45",,,"94-95","96","35+","sa3009856"
"Evan Reifert","SIRP","MIL",,40,"22.4027777",,,"55 / 60","55 / 60","","","20 / 35",,,"94-97","98","35+","sa3014860"
"Nick Bennett","MIRP","MIL",,41,"24.1055555",,"Rise","45 / 45","50 / 55","55 / 55","45 / 45","35 / 40",2300,,"90-92","93","35+","sa3011410"
"Jake Latz","SP","TEX",,51,"25.5027777",,,"45 / 45","","55 / 55","40 / 45","45 / 50",,,"89-93","94","35+","21306"
"Fernery Ozuna","SIRP","TEX",,52,"25.9166666","8/1/18",,"55 / 60","45 / 50","","45 / 50","40 / 40",,,"94-97","100","35+","sa739259"
"Clayton Andrews","SIRP","MIL",,43,"24.7638888",,"Tail","30 / 30","45 / 45","","55 / 60","40 / 50",1950,2500,"85-91","93","35+","sa3007226"
"Patrick Weigel","SIRP","MIL",,44,"27.2527777","6/27/17","Tail","55 / 55","60 / 60","55 / 55","45 / 50","35 / 40",2350,3000,"91-95","98","35+","17792"
"Dylan MacLean","SP","TEX",,55,"19.2416666",,"Rise","30 / 50","","45 / 55","30 / 45","25 / 50",,,"88-90","91","35+","sa3014508"
"Scott Engler","SIRP","TEX",,60,"24.825","9/7/16",,"45 / 45","","","","40 / 40",,,"93-94","95","35+","sa918353"
"Jose Alberto Rivera","SIRP","HOU",,22,"24.6527777",,,"70 / 70","","55 / 55","","30 / 35",2350,2300,"93-97","99","35+","sa3003090"
"Hever Bueno","SIRP","TEX",,62,"26.8777777","6/10/16",,"60 / 60","50 / 55","","","30 / 35",2300,2600,"92-97","99","35+","sa738180"
"Jairo Lopez","SP","HOU",,23,"20.8833333",,,"50 / 50","55 / 55","50 / 50","40 / 45","35 / 50",2200,2850,"91-94","95","35+","sa3005824"
"Kelvin Gonzalez","SIRP","TEX",,63,"23.7916666",,,"60 / 60","","55 / 55","50 / 50","40 / 40",2450,,"94-96","98","35+","sa920544"
"Chayce McDermott","SIRP","HOU",,24,"22.8861111",,"Rise","55 / 60","40 / 45","50 / 55","","30 / 40",,,"92-95","98","35+","sa3017420"
"Manny Ramirez","SIRP","HOU",,26,"21.8833333",,,"55 / 60","","50 / 60","40 / 50","20 / 30",2450,2700,"92-95","97","35+","sa3004833"
"Brett Conine","SIRP","HOU",,27,"24.9805555",,"Rise","45 / 45","45 / 45","","55 / 60","45 / 50",2550,2300,"90-93","96","35+","sa3008024"
"Misael Tamarez","SP","HOU",,29,"21.7305555",,"Cut/Rise","45 / 55","","","50 / 55","35 / 50",,,"92-94","94","35+","sa3009632"
"Juan Pablo Lopez","SP","HOU",,30,"22.6444444",,,"40 / 40","","45 / 50","45 / 55","35 / 50",2300,2150,"90-93","94","35+","sa3004647"
"Julio Robaina","SP","HOU",,31,"20.5444444",,"Cut/Rise","40 / 45","","50 / 55","45 / 50","35 / 55",2200,2800,"89-92","94","35+","sa3006817"
"Diosmerky Taveras","SIRP","HOU",,32,"22.0444444",,,"60 / 65","45 / 50","","40 / 50","20 / 35",2150,2450,"94-97","98","35+","sa3004872"
"Victor Lizarraga","SP","SDP",,25,"17.8583333",,,"35 / 50","","45 / 55","20 / 50","25 / 55",,,"88-91","92","35+","sa3015220"
"Zayad Salinas","SP/OF","SDP",,26,"18.7388888",,,"40 / 50","","45 / 50","40 / 50","20 / 50",,,"87-91","92","35+",
"Brayan Medina","SP","SDP",,27,"19.0083333",,,"45 / 55","","45 / 55","30 / 45","30 / 45",,,"91-92","94","35+","sa3014705"
"Kevin Kopps","SIRP","SDP",,28,"24.3583333",,"Sink","40 / 40","60 / 60","","","60 / 60",,,"87-92","94","35+","sa3017005"
"Jagger Haynes","SP","SDP",,29,"19.0527777",,,"40 / 50","40 / 50","","35 / 50","20 / 50",,,"88--92","94","35+",
"Jackson Wolf","MIRP","SDP",,30,"22.2194444",,"Tail","40 / 45","55 / 60","","","35 / 55",,,"88-92","95","35+","sa3017384"
"Chase Walter","SIRP","SDP",,31,"23.2027777",,,"55 / 55","50 / 55","","","30 / 40",,,"94-96","98","35+","sa3015112"
"Evan Miller","SIRP","SDP",,32,"26.3694444",,,"55 / 55","60 / 60","","","40 / 45",2250,2750,"92-95","97","35+","sa915725"
"Pedro Avila","SP","SDP",,33,"24.7361111",,,"50 / 50","","55 / 55","55 / 60","45 / 50",2200,2750,"91-95","96","35+","18864"
"Ryan Bergert","SIRP","SDP",,37,"21.3416666",,"Rise","45 / 50","","60 / 60","","30 / 40",,,"89-92","94","35+","sa3017418"
"Cade Povich","SP","MIN",,32,"21.2472222",,"Rise","35 / 45","","50 / 55","35 / 50","35 / 60",2100,2100,"86-92","96","35+","sa3017787"
"Mason Fox","SIRP","SDP",,38,"24.7555555",,,"55 / 60","","55 / 55","","40 / 40",2450,2550,"90-94","95","35+","sa3007460"
"Luis Rijo","SP","MIN",,34,"23.0916666",,"None","40 / 40","","55 / 55","45 / 50","50 / 60",2050,2650,"90-94","96","35+","sa916950"
"Irv Carter","SP","TOR",,23,"18.7583333",,"Rise","40 / 45","50 / 55","","45 / 55","25 / 55",,,"91-93","95","35+",
"Yennier Cano","SIRP","MIN",,37,"27.5833333",,"Sink","50 / 50","50 / 55","","","45 / 45",2150,2500,"92-95","97","35+","sa3011688"
"Kirby Snead","SIRP","TOR",,26,"27.0055555",,"Sink/Tail","45 / 45","55 / 55","","45 / 50","45 / 45",2550,2750,"92-94","95","35+","19179"
"Dany Jimenez","SIRP","TOR",,27,"25.7944444",,"Rise","60 / 60","60 / 60","","","30 / 30",2450,2400,"93-96","97","35+","21170"
"Michael Rucker","MIRP","CHC",,45,"27.45",,"Tail","55 / 55","55 / 55","50 / 50","45 / 50","45 / 50",2250,2600,"94-97","99","35+","19454"
"Nick Frasso","SP","TOR",,29,"22.975",,"Rise","45 / 55","","40 / 45","40 / 50","30 / 50",2350,2100,"91-93","95","35+","sa3014492"
"Jeremiah Estrada","SIRP","CHC",,47,"22.9388888","8/25/19","Tail","50 / 55","","45 / 45","60 / 60","30 / 40",2350,2400,"92-95","96","35+","sa3005339"
"Hobie Harris","SIRP","TOR",,30,"28.2944444",,,"70 / 70","","45 / 45","","30 / 35",,,"96-98","101","35+","sa876068"
"Ethan Roberts","SIRP","CHC",,48,"24.2638888",,"Cut","45 / 45","","70 / 70","","35 / 40",,,"90-94","95","35+","sa3008132"
"Curtis Taylor","MIRP","TOR",,31,"26.2055555",,"Rise","45 / 55","55 / 55","","45 / 50","40 / 45",2350,2300,"93-97","98","35+","sa917970"
"Eury Ramos","SIRP","CHC",,49,"23.9972222",,"Rise/Cut","65 / 65","45 / 50","","","40 / 45",,,"95-99","100","35+","sa873729"
"Roither Hernandez","SIRP","TOR",,33,"23.5944444",,"Rise","60 / 65","40 / 55","","30 / 40","30 / 35",2350,2450,"95-98","99","35+","sa3004333"
"Naswell Paulino","SIRP","TOR",,34,"21.4777777",,"Rise","40 / 55","","45 / 55","","30 / 40",2450,2550,"90-92","93","35+","sa3002998"
"Tyler Schlaffer","SP","CHC",,52,"20.375",,"Rise","45 / 50","","45 / 50","45 / 55","20 / 45",2150,2250,"91-93","95","35+","sa3011815"
"Koen Moreno","SP","CHC",,53,"20.1888888",,,"40 / 50","","45 / 50","35 / 50","35 / 55",,,"88-92","94","35+","sa3014509"
"Bailey Horn","MIRP","CHC",,54,"23.7333333","2/1/18","Rise","55 / 60","50 / 55","50 / 50","","40 / 45",2250,2500,"93-95","98","35+","sa3014493"
"Richard Gallardo","SP","CHC",,55,"20.0916666",,"Sink","45 / 45","","45 / 45","50 / 55","35 / 55",1950,2250,"89-93","94","35+","sa3009990"
"Dakota Mekkes","SIRP","CHC",,57,"26.925",,,"55 / 55","55 / 55","","55 / 55","35 / 35",2300,2400,"91-93","96","35+","sa915807"
"Luke Little","SIRP","CHC",,58,"21.1083333",,,"65 / 70","50 / 55","","","30 / 35",,,"94-97","99","35+","sa3014514"
"Collin Snider","SIRP","KCR",,37,"25.9972222",,"Tail","55 / 55","50 / 55","","","50 / 60",,,"93-95","96","35+","sa3004093"
"Carlos Sanabria","SIRP","KCR",,38,"24.7083333",,,"60 / 60","40 / 40","45 / 45","50 / 50","35 / 40",2400,2350,"93-97","99","35+","16634"
"Kasey Kalich","SIRP","KCR",,39,"23.4555555",,"Tail","55 / 55","","50 / 55","","30 / 40",,,"91-95","97","35+","sa1169633"
"Yefri Del Rosario","SIRP","KCR",,40,"22.0444444",,,"50 / 50","","50 / 55","40 / 45","35 / 45",2200,2400,"91-94","96","35+","sa3002971"
"Eric Cerantola","SIRP","KCR",,42,"21.1916666",,"Tail","55 / 60","55 / 60","55 / 55","45 / 55","30 / 40",,,"92-95","97","35+","sa3017914"
"Devin Sweet","MIRP","SEA",,25,"25.0916666",,,"45 / 45","","45 / 45","55 / 60","45 / 55",2250,2350,"90-93","95","35+","sa3008340"
"Samuel Valerio","SIRP","KCR",,43,"20.0027777",,"Tail","60 / 70","","40 / 45","45 / 50","30 / 45",2400,2250,"94-97","99","35+","sa3009220"
"Elvis Alvarado","SIRP","SEA",,26,"22.6277777",,,"60 / 70","40 / 50","","","35 / 40",2550,2250,"92-95","98","35+","sa919291"
"Anderson Paulino","MIRP","KCR",,44,"23.075",,"Sink/Tail","60 / 60","45 / 55","","","40 / 45",,,"95-97","98","35+","sa3007991"
"Calvin Ziegler","RHP","NYM",,22,"18.7722222",,"Tail","50 / 55","40 / 50","","30 / 45","20 / 45",,,"92-94","96","35+",
"Bryan Woo","SIRP","SEA",,27,"21.4472222",,,"55 / 60","30 / 40","","20 / 50","30 / 40",,,"93-96","98","35+",
"Anthony Veneziano","SIRP","KCR",,45,"24.1055555",,"Tail","50 / 55","","","50 / 55","30 / 40",,,"94-96","97","35+","sa1115745"
"Marcel Renteria","SIRP","NYM",,23,"27.0333333",,"Tail","50 / 55","","70 / 70","","30 / 35",,,"93-95","96","35+","sa3005016"
"Zach Haake","SIRP","KCR",,46,"25.0027777",,,"60 / 60","55 / 60","","40 / 45","30 / 35",2400,2500,"92-95","97","35+","sa3008523"
"Joander Suarez","SP","NYM",,24,"21.6166666",,"Rise","45 / 50","50 / 55","","40 / 50","40 / 50",2350,,"91-94","95","35+","sa3008263"
"Eduardo Herrera","SIRP","KCR",,48,"21.7611111",,"Rise","60 / 70","","45 / 50","","30 / 40",2400,2250,"94-96","97","35+","sa3002702"
"Roel Ramirez","SIRP","NYM",,26,"26.3694444",,"Cut","45 / 45","45 / 45","","","40 / 40",2350,2700,"92-96","97","35+","16470"
"Kristian Cardozo","SP","SEA",,31,"18.9138888",,,"40 / 50","","45 / 50","40 / 50","30 / 50",,,"87-91","92","35+","sa3014706"
"Drew Parrish","SP","KCR",,49,"23.8361111",,,"35 / 40","","45 / 45","50 / 55","35 / 50",2250,2700,"87-90","92","35+","sa3011395"
"Ty Adcock","SIRP","SEA",,32,"24.6722222",,,"65 / 65","45 / 50","40 / 50","45 / 50","30 / 35",,,"94-97","100","35+","sa3014482"
"Noah Murdock","SP","KCR",,50,"23.1361111",,"Sink","55 / 55","","55 / 55","45 / 50","40 / 50",2150,2800,"90-95","97","35+","sa919012"
"Michel Otanez","SIRP","NYM",,28,"24.2666666","10/1/16","Sink/Tail","55 / 60","45 / 50","","","30 / 40",2200,,"90-97","99","35+","sa932611"
"Mason Denaburg","SP","WSN",,24,"22.1694444",,,"55 / 60","","60 / 60","50 / 55","30 / 50",2300,2400,"92-95","98","35+","sa3010648"
"Woo-Young Jin","SP","KCR",,53,"20.6222222",,,"30 / 40","","40 / 45","","35 / 50",2050,,"85-88","91","35+","sa3010132"
"Daniel Tillo","SIRP","KCR",,55,"25.3222222","7/29/20",,"60 / 60","50 / 50","","40 / 45","35 / 40",2250,2200,"92-95","97","35+","sa876284"
"Hunter Schryver","SIRP","CHW",,21,"26.5166666","2/20/20","Rise","60 / 60","50 / 50","","","45 / 55",2400,1050,"90-93","94","35+","sa873263"
"Caleb Freeman","SIRP","CHW",,22,"23.6277777",,"Rise","55 / 60","","55 / 60","","30 / 35",2400,3050,"92-95","97","35+","sa3011339"
"Patrick Murphy","SIRP","WSN",,30,"26.3305555",,"Sink","60 / 60","","50 / 50","","45 / 45",2100,2300,"93-97","99","35+","19712"
"Tanner McDougal","SP","CHW",,23,"18.2722222",,"Sink","40 / 50","40 / 50","","40 / 50","20 / 50",,,"90-92","94","35+","sa3017471"
"Holden Powell","SIRP","WSN",,31,"22.0833333",,,"60 / 60","50 / 55","","","30 / 40",2200,2650,"94-97","99","35+","sa3014854"
"Zach Brzykcy","SIRP","WSN",,32,"22.2416666",,"Rise/Tail","60 / 60","","55 / 60","","30 / 35",2300,2550,"94-98","99","35+","sa3014984"
"Jimmy Lambert","SIRP","CHW",,25,"26.8916666","6/21/19","Tail","45 / 50","50 / 55","50 / 55","50 / 55","45 / 50",2200,2750,"91-94","95","35+","19541"
"Reid Schaller","SIRP","WSN",,33,"24.5194444","1/1/16",,"45 / 55","50 / 55","","40 / 45","45 / 50",2450,2400,"91-94","96","35+","sa3008023"
"Todd Peterson","SP","WSN",,34,"23.7138888",,,"55 / 60","50 / 55","","","35 / 45",,,"93-95","96","35+","sa3011334"
"Jose Marte","SIRP","LAA",,25,"25.3194444",,"Tail","70 / 70","55 / 60","","","30 / 30",,,"97-100","101","35+","21761"
"Brendan Beck","SP","NYY",,29,"22.7638888",,"Sink","35 / 40","40 / 45","50 / 55","40 / 45","35 / 60",,,"87-90","94","35+",
"Elvis Peguero","SIRP","LAA",,26,"24.5527777",,"Tail","60 / 60","55 / 60","","","35 / 50",,,"92-95","97","35+","21652"
"Brock Selvidge","MIRP","NYY",,30,"18.8694444",,,"40 / 50","","45 / 55","","20 / 40",,,"90-94","95","35+",
"Janson Junk","SP","LAA",,27,"25.7333333",,"Rise","50 / 50","50 / 55","55 / 60","","55 / 60",2450,,"91-93","96","35+","23301"
"Nelson L Alvarez","SIRP","NYY",,31,"23.3277777",,"Cut","50 / 55","50 / 55","","","30 / 40",2450,2550,"94-96","97","35+","sa3010783"
"Kyle Tyler","SP","LAA",,28,"24.7833333",,"Rise","50 / 50","45 / 50","45 / 45","45 / 50","50 / 55",,,"92-95","96","35+","22092"
"Luke Murphy","SIRP","LAA",,29,"21.9277777",,"Rise","60 / 60","40 / 45","40 / 40","35 / 40","30 / 40",2450,2450,"95-97","99","35+","sa3017653"
"Jose Salvador","SIRP","LAA",,30,"22.05",,"Rise","45 / 55","","50 / 50","30 / 35","35 / 40",2400,2500,"89-91","93","35+","sa3006482"
"Alfredo Garcia","SIRP","NYY",,34,"22.2138888",,"Tail","45 / 50","","45 / 50","50 / 55","40 / 45",2300,1850,"90-94","95","35+","sa3003045"
"Chase Silseth","SIRP","LAA",,31,"21.3916666",,"Sink","45 / 50","45 / 50","40 / 45","45 / 55","30 / 40",2250,2500,"93-95","98","35+","sa3017871"
"Eric Silva","SP","SFG",,37,"18.7722222",,"Sink","40 / 45","20 / 50","45 / 50","40 / 50","25 / 60",,,"89-93","94","35+",
