year,last_name, first_name,player_id,pitch_hand,api_pitch_type,n_pitches,release_speed,spin_rate,movement_inches,alan_active_spin_pct,active_spin,hawkeye_measured,movement_inferred,api_pitch_name,active_spin_formatted,hawkeye_measured_clock_minutes,movement_inferred_clock_minutes,diff_measured_inferred,diff2,diff_measured_inferred_minutes,hawkeye_measured_clock_hh,hawkeye_measured_clock_mm,movement_inferred_clock_hh,movement_inferred_clock_mm,diff_clock_hh,diff_clock_mm,hawkeye_measured_clock_label,movement_inferred_clock_label,diff_clock_label
,Boyd, Matthew,571510,L,FF,535,92,2333,18.3,0.84009942118528,0.8949998343855379,219.79126185141365,217.82187520369487,4-Seam Fastball,89,645,645,1.9693866477187782,1.969386647718763,0,10,45,10,45,0,0,10:45,10:45, 0H 00M
,Brasier, Ryan,518489,R,FF,135,95.1,2135,16.5,0.7998786322300333,0.9128757522755808,149.71980571920395,156.63044557226004,4-Seam Fastball,91,60,765,-6.910639853056097,6.910639853056094,15,1,0,12,45,0,15,1:00,12:45,+0H 15M
,Brebbia, John,605154,R,FF,158,92.9,2257,19.8,0.9240557591386657,0.9892100187522459,144.93204203975606,148.04339744024327,4-Seam Fastball,99,75,60,-3.111355400487213,3.111355400487227,15,1,15,1,0,0,15,1:15,1:00,+0H 15M
,Brice, Austin,592169,R,FF,118,92.7,2243,19.2,0.8795123057269766,0.9390971105504775,102.66749152039351,105.92396537056872,4-Seam Fastball,94,150,150,-3.2564738501752117,3.256473850175201,0,2,30,2,30,0,0,2:30,2:30, 0H 00M
,Brothers, Rex,571521,L,FF,632,94.5,2107,18.7,0.9194429029047929,0.965917597556855,216.44548369169763,208.81372233223712,4-Seam Fastball,97,645,660,7.631761359460512,7.631761359460511,-15,10,45,11,0,0,15,10:45,11:00,-0H 15M
,Buchter, Ryan,488748,L,FF,151,90.5,2217,19.8,0.9539357496895746,0.9779656379567839,216.10352146327207,209.81495322928166,4-Seam Fastball,98,645,660,6.288568233990418,6.2885682339904125,-15,10,45,11,0,0,15,10:45,11:00,-0H 15M
,Burrows, Beau,663366,R,FF,154,93.1,2194,19.1,0.9363910316221146,0.9942886300613994,156.4224660804421,157.89567041968795,4-Seam Fastball,99,765,765,-1.4732043392458536,1.4732043392458578,0,12,45,12,45,0,0,12:45,12:45, 0H 00M
,Cishek, Steve,518553,R,FF,206,89.7,2386,14.8,0.6702954736405281,0.7554716118487674,124.68450842351993,133.47023791719562,4-Seam Fastball,76,105,90,-8.785729493675689,8.785729493675694,15,1,45,1,30,0,15,1:45,1:30,+0H 15M
,Civale, Aaron,650644,R,FF,425,91.4,2327,17.2,0.7928473723342648,0.8437867426638834,164.51856166447175,168.30401430316215,4-Seam Fastball,84,750,750,-3.7854526386904013,3.7854526386904173,0,12,30,12,30,0,0,12:30,12:30, 0H 00M
,Claudio, Alex,592222,L,FF,83,85.4,1964,16.9,0.8075475306055256,0.9037884525145384,264.9946325108281,254.40651738636944,4-Seam Fastball,90,555,570,10.588115124458682,10.58811512445872,-15,9,15,9,30,0,15,9:15,9:30,-0H 15M
