year,last_name, first_name,player_id,pitch_hand,api_pitch_type,n_pitches,release_speed,spin_rate,movement_inches,alan_active_spin_pct,active_spin,hawkeye_measured,movement_inferred,api_pitch_name,active_spin_formatted,hawkeye_measured_clock_minutes,movement_inferred_clock_minutes,diff_measured_inferred,diff2,diff_measured_inferred_minutes,hawkeye_measured_clock_hh,hawkeye_measured_clock_mm,movement_inferred_clock_hh,movement_inferred_clock_mm,diff_clock_hh,diff_clock_mm,hawkeye_measured_clock_label,movement_inferred_clock_label,diff_clock_label
,Lindblom, Josh,458676,R,FC,54,86.2,2453,9.8,0.4313588731617067,0.4949378925063653,168.1397836400262,200.41196969496437,Cutter,49,750,675,-32.272186054938174,32.272186054938174,75,12,30,11,15,1,15,12:30,11:15,+1H 15M
,McHugh, Collin,543521,R,FC,320,87.5,2501,7.3,0.3207332742377338,0.36073259329164153,170.40050953896912,205.3294061235643,Cutter,36,735,675,-34.92889658459518,34.928896584595165,60,12,15,11,15,1,0,12:15,11:15,+1H 00M
,Melancon, Mark,453343,R,FC,648,92,2259,10,0.4655204396134667,0.626572422142162,174.4572900872258,187.38594492118267,Cutter,63,735,705,-12.92865483395687,12.92865483395686,30,12,15,11,45,0,30,12:15,11:45,+0H 30M
,Miller, Shelby,571946,R,FC,61,88.7,2268,6.5,0.29967929077461347,0.519453589736059,184.23361653518432,198.93778721737183,Cutter,52,705,675,-14.70417068218751,14.704170682187506,30,11,45,11,15,0,30,11:45,11:15,+0H 30M
,Odorizzi, Jake,543606,R,FC,183,86.8,2058,10.5,0.4992474367476208,0.6304499229823858,184.12118091953815,201.95884173848353,Cutter,63,705,675,-17.83766081894538,17.8376608189454,30,11,45,11,15,0,30,11:45,11:15,+0H 30M
,Ohtani, Shohei,660271,R,FC,243,86.9,2268,5.4,0.24316910435603348,0.35605047114022914,210.08792254507892,232.07517221569975,Cutter,36,660,615,-21.987249670620827,21.987249670620862,45,11,0,10,15,0,45,11:00,10:15,+0H 45M
,Pagán, Emilio,641941,R,FC,411,86.4,2334,4.3,0.1917835083545481,0.2925571987504274,204.7286889667047,236.00033035593077,Cutter,29,675,615,-31.271641389226062,31.271641389226087,60,11,15,10,15,1,0,11:15,10:15,+1H 00M
,Solomon, Peter,656981,R,FC,32,86.8,2238,5.2,0.23612940021711745,0.3634118013809306,163.70579589338465,184.80486363342453,Cutter,36,750,705,-21.099067740039885,21.099067740039875,45,12,30,11,45,0,45,12:30,11:45,+0H 45M
,Stammen, Craig,489334,R,FC,288,89.1,2293,9.2,0.42055767899743807,0.6263602640520533,166.04835556704046,184.2993416196831,Cutter,63,750,705,-18.250986052642645,18.25098605264265,45,12,30,11,45,0,45,12:30,11:45,+0H 45M
,Thompson, Zach,605507,R,FC,419,87.1,2545,6.1,0.2661941374867298,0.2944618155888168,187.80828112102253,223.21252344306416,Cutter,29,705,630,-35.404242322041625,35.40424232204164,75,11,45,10,30,1,15,11:45,10:30,+1H 15M
,Treinen, Blake,595014,R,FC,322,93.3,2484,7.7,0.3558157507800272,0.3957439141333934,150.204975496631,185.45292159690487,Cutter,40,60,705,-35.24794610027388,35.24794610027387,75,1,0,11,45,1,15,1:00,11:45,+1H 15M
,Wacha, Michael,608379,R,FC,482,89.1,2067,9.6,0.45472302287871674,0.5579306957338893,172.78013912576523,199.35377048522983,Cutter,56,735,675,-26.5736313594646,26.57363135946459,60,12,15,11,15,1,0,12:15,11:15,+1H 00M
,Wilson, Justin,458677,L,FC,214,89.5,2354,11.6,0.5268568861471259,0.5746790205267853,183.66193712204694,158.408913047316,Cutter,57,720,765,25.253024074730945,25.25302407473093,-45,12,0,12,45,0,45,12:00,12:45,-0H 45M
